SqlRevokeTotalOccurrences,0
SqlRevokeTotalParsingErrors,0
SqlSizeMB,0.03MB
SqlTableCharacterConversionRate,100
SqlTableFullyConvertedOccurrences,20
SqlTableLoCConversionRate,100
SqlTableObjectConversionRate,100
SqlTableTotalCharacters,6030
SqlTableTotalConversionErrors,0
SqlTableTotalLinesOfCode,253
SqlTableTotalOccurrences,20
SqlTableTotalParsingErrors,0
SqlTableTotalWarnings,0
SqlTotalCharacters,25299
SqlTotalConversionErrors,0
SqlTotalOccurrences,31
SqlTotalParsingErrors,2
SqlTotalWarnings,30
SqlTypeCharacterConversionRate,0
SqlTypeFullyConvertedOccurrences,0
SqlTypeLoCConversionRate,0
SqlTypeObjectConversionRate,0
SqlTypeTotalCharacters,0
SqlTypeTotalConversionErrors,0
SqlTypeTotalLinesOfCode,0
SqlTypeTotalOccurrences,0
SqlTypeTotalParsingErrors,0
SqlTypeTotalWarnings,0
SqlUnrecognizedElementsLOC,2
SqlViewCharacterConversionRate,100
SqlViewFullyConvertedOccurrences,6
SqlViewLoCConversionRate,100
SqlViewObjectConversionRate,100
SqlViewTotalCharacters,3196
SqlViewTotalConversionErrors,0
SqlViewTotalLinesOfCode,94
SqlViewTotalOccurrences,6
SqlViewTotalParsingErrors,0
SqlViewTotalWarnings,0
StartConversion,2025-09-18 11:34:40 +05:30
SystemCPU,Data not provided
SystemRAM,Data not provided
TableCharacterConversionRate,100
TableFullyConvertedOccurrences,20
TableLoCConversionRate,100
TableObjectConversionRate,100
TableTotalCharacters,6030
TableTotalConversionErrors,0
TableTotalLinesOfCode,253
TableTotalOccurrences,20
TableTotalParsingErrors,0
TableTotalWarnings,0
TableValuedFunctionsLOC,0
TotalCharacterConversionRate,91.2
TotalCodeUnits,99
TotalConversionErrors,0
TotalConvertedLines,767
TotalErrors,19
TotalFiles,31
TotalFilesNotGenerated,0
TotalIdentifiedObjects,36
TotalInvalidFiles,32
TotalLinesOfCode,866
TotalLoCConversionRate,88.57
TotalMissingObjectReferences,13
TotalNonParsingTransformationExceptions,0
TotalOtherEWIs,17
TotalParsingErrors,2
TotalParsingEWIs,2
TotalPowerBiFiles,0
TotalSize,28.66KB
TotalValidatedFiles,32
TotalWarnings,13
TransformationTime,0.908771
TriggerLinesOfCode,0
Triggers,0
UniqueFDMs,1
UniqueMissingObjectReferences,3
UniqueOtherCriticalIssues,0
UniqueParsingIssues,1
UniquePRFs,0
UnrecognizedElements,2
UnrecognizedElementsLOC,2
UnScopeCFunctionsLoC,0
UnScopeCFunctionsObjects,0
UnScopeCProceduresLoC,0
UnScopeCProceduresObjects,0
UnScopeJavaFunctionsLoC,0
UnScopeJavaFunctionsObjects,0
UnScopeJavaProceduresLoC,0
UnScopeJavaProceduresObjects,0
ViewCharacterConversionRate,100
ViewFullyConvertedOccurrences,6
ViewLoCConversionRate,100
ViewObjectConversionRate,100
ViewTotalCharacters,3196
ViewTotalConversionErrors,0
ViewTotalLinesOfCode,94
ViewTotalOccurrences,6
ViewTotalParsingErrors,0
ViewTotalWarnings,0
WorkloadName,
