PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Type,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line,Relation_Type
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_children_team.sql,INSERT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_children_team,intermediate_schema.int_children_team,8,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_children_team.sql,INSERT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,children_team,raw_schema.children_team,14,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_children_team.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_children_team,intermediate_schema.int_children_team,17,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_children_team.sql,TRUNCATE TABLE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_children_team,intermediate_schema.int_children_team,19,TRUNCATE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_children_team.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_children_team_proc,intermediate_Schema.int_children_team_proc,CREATE TABLE,N/A,intermediate_schema,int_children_team,intermediate_schema.int_children_team,25,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_children_team.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_children_team_proc,intermediate_Schema.int_children_team_proc,CREATE TABLE,N/A,raw_schema,children_team,raw_schema.children_team,31,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_children_team.sql,CALL,N/A,N/A,N/A,N/A,CREATE PROCEDURE,N/A,intermediate_Schema,int_children_team_proc,intermediate_Schema.int_children_team_proc,35,CALL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,INSERT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,15,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,INSERT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,player_injuries,raw_schema.player_injuries,23,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,DELETE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,25,DELETE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,DELETE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,28,DELETE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,DELETE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,31,DELETE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,40,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,TRUNCATE TABLE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,42,TRUNCATE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_injuries_proc,intermediate_Schema.int_player_injuries_proc,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,48,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_injuries_proc,intermediate_Schema.int_player_injuries_proc,CREATE TABLE,N/A,raw_schema,player_injuries,raw_schema.player_injuries,57,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_injuries_proc,intermediate_Schema.int_player_injuries_proc,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,59,DELETE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_injuries_proc,intermediate_Schema.int_player_injuries_proc,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,62,DELETE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_injuries_proc,intermediate_Schema.int_player_injuries_proc,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,65,DELETE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_injuries.sql,CALL,N/A,N/A,N/A,N/A,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_injuries_proc,intermediate_Schema.int_player_injuries_proc,71,CALL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_teammates_played_with.sql,INSERT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_teammates_played_with,intermediate_schema.int_player_teammates_played_with,16,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_teammates_played_with.sql,INSERT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,player_teammates_played_with,raw_schema.player_teammates_played_with,23,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_teammates_played_with.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_teammates_played_with,intermediate_schema.int_player_teammates_played_with,30,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_teammates_played_with.sql,TRUNCATE TABLE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_teammates_played_with,intermediate_schema.int_player_teammates_played_with,32,TRUNCATE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_teammates_played_with.sql,CREATE PROCEDURE,N/A,intermediate_schema,int_player_teammates_played_with_proc,intermediate_schema.int_player_teammates_played_with_proc,CREATE TABLE,N/A,intermediate_schema,int_player_teammates_played_with,intermediate_schema.int_player_teammates_played_with,38,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_teammates_played_with.sql,CREATE PROCEDURE,N/A,intermediate_schema,int_player_teammates_played_with_proc,intermediate_schema.int_player_teammates_played_with_proc,CREATE TABLE,N/A,raw_schema,player_teammates_played_with,raw_schema.player_teammates_played_with,46,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_teammates_played_with.sql,CALL,N/A,N/A,N/A,N/A,CREATE PROCEDURE,N/A,intermediate_schema,int_player_teammates_played_with_proc,intermediate_schema.int_player_teammates_played_with_proc,54,CALL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_player_teammates_played_with.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_teammates_played_with,intermediate_schema.int_player_teammates_played_with,56,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_transfer_history.sql,DROP TABLE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_transfer_history,intermediate_schema.int_transfer_history,16,DROP
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_transfer_history.sql,TRUNCATE TABLE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_transfer_history,intermediate_schema.int_transfer_history,18,TRUNCATE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_transfer_history.sql,INSERT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_transfer_history,intermediate_schema.int_transfer_history,22,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_transfer_history.sql,INSERT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,transfer_history,raw_schema.transfer_history,34,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_transfer_history.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_transfer_history_proc,intermediate_Schema.int_transfer_history_proc,CREATE TABLE,N/A,intermediate_schema,int_transfer_history,intermediate_schema.int_transfer_history,40,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_transfer_history.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_transfer_history_proc,intermediate_Schema.int_transfer_history_proc,CREATE TABLE,N/A,raw_schema,transfer_history,raw_schema.transfer_history,52,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_int_transfer_history.sql,CALL,N/A,N/A,N/A,N/A,CREATE PROCEDURE,N/A,intermediate_Schema,int_transfer_history_proc,intermediate_Schema.int_transfer_history_proc,56,CALL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_national_performance.sql,TRUNCATE TABLE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_national_performance,intermediate_schema.int_player_national_performance,38,TRUNCATE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_national_performance.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_national_performance_proc,intermediate_Schema.int_player_national_performance_proc,CREATE TABLE,N/A,raw_schema,player_national_performance,raw_schema.player_national_performance,51,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_national_performance.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_national_performance_proc,intermediate_Schema.int_player_national_performance_proc,CREATE TABLE,N/A,raw_schema,player_national_performance,raw_schema.player_national_performance,53,DELETE
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_national_performance.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_national_performance_proc,intermediate_Schema.int_player_national_performance_proc,CREATE TABLE,N/A,intermediate_schema,int_player_national_performance,intermediate_schema.int_player_national_performance,57,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_national_performance.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_national_performance_proc,intermediate_Schema.int_player_national_performance_proc,CREATE TABLE,N/A,raw_schema,player_national_performance,raw_schema.player_national_performance,65,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_national_performance.sql,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_national_performance_proc,intermediate_Schema.int_player_national_performance_proc,CREATE TABLE,N/A,intermediate_schema,int_player_national_performance,intermediate_schema.int_player_national_performance,67,DELETE
