PartitionKey,FileType,Category,CodeUnit,SourceDatabase,SourceSchema,CodeUnitName,CodeUnitId,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage,Deployment Order,SourceLanguage
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,INSERT,N/A,N/A,N/A,N/A,int_schema_team_competition_seasons.sql,22,8,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,int_schema_team_competition_seasons.sql,16,3,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,intermediate_schema,int_team_competitions_seasons,intermediate_schema.int_team_competitions_seasons,int_schema_team_competition_seasons.sql,8,7,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,int_schema_team_competition_seasons.sql,3,4,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,int_schema_team_competition_seasons.sql,1,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,int_schema_player_performances.sql,64,28,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,CALL,N/A,N/A,N/A,N/A,int_schema_player_performances.sql,61,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,2,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,PROCEDURE,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_performance_overall_proc,intermediate_Schema.int_player_performance_overall_proc,int_schema_player_performances.sql,26,32,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,intermediate_schema,int_player_performance_overall,intermediate_schema.int_player_performance_overall,int_schema_player_performances.sql,1,23,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_player_profile.sql,38,8,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,NotSupported,0%,1*,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,raw_schema,player_profile,raw_schema.player_profile,raw_schema_player_profile.sql,1,36,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_team_competitions_seasons.sql,21,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_team_competitions_seasons.sql,12,8,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,NotSupported,0%,1*,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,raw_schema,team_competitions_seasons,raw_schema.team_competitions_seasons,raw_schema_team_competitions_seasons.sql,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,VIEW,CREATE VIEW,N/A,final_schema,vw_injury_type_trends,final_schema.vw_injury_type_trends,final_schema_vw_injury_type_trends.sql,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_transfer_history.sql,23,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_transfer_history.sql,14,8,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,NotSupported,0%,1*,PostgreSQL
